Wavelength (nm),Spectral irradiance (W m-2 nm-1),Cumulative photon flux (cm-2 s-1)
869,0.950375,1.97835E+17
870,0.961,1.98256E+17
871,0.954375,1.98674E+17
872,0.961125,1.99096E+17
873,0.95325,1.99514E+17
874,0.93825,1.99927E+17
875,0.929,2.00336E+17
876,0.947125,2.00753E+17
877,0.95225,2.01173E+17
878,0.948375,2.01592E+17
879,0.936375,2.02006E+17
880,0.93275,2.02419E+17
881,0.912875,2.02824E+17
882,0.926625,2.03235E+17
883,0.92775,2.03647E+17
884,0.931125,2.04061E+17
885,0.935875,2.04478E+17
886,0.91,2.04884E+17
887,0.909125,2.05289E+17
888,0.92,2.057E+17
889,0.929125,2.06116E+17
890,0.922625,2.06529E+17
891,0.920625,2.06942E+17
892,0.90375,2.07347E+17
893,0.872625,2.07739E+17
894,0.847,2.0812E+17
895,0.809375,2.08485E+17
896,0.754375,2.08825E+17
897,0.6825,2.09133E+17
898,0.688375,2.09444E+17
899,0.59225,2.09712E+17
900,0.698125,2.10028E+17
901,0.62425,2.10311E+17
902,0.660125,2.1061E+17
903,0.70375,2.1093E+17
904,0.81925,2.11303E+17
905,0.813125,2.11673E+17
906,0.76125,2.1202E+17
907,0.655625,2.12319E+17
908,0.654875,2.12618E+17
909,0.685625,2.12932E+17
910,0.63825,2.13224E+17
911,0.66325,2.13528E+17
912,0.676875,2.13839E+17
913,0.63425,2.1413E+17
914,0.631625,2.1442E+17
915,0.657,2.14723E+17
916,0.60675,2.15002E+17
917,0.69175,2.15321E+17
918,0.626375,2.15611E+17
919,0.719375,2.15943E+17
920,0.745875,2.16289E+17
921,0.7635,2.16642E+17
922,0.713625,2.16973E+17
923,0.734375,2.17314E+17
924,0.72075,2.17649E+17
925,0.70925,2.1798E+17
926,0.7125,2.18311E+17
927,0.749875,2.18661E+17
928,0.607875,2.18945E+17
929,0.539875,2.19197E+17
930,0.443,2.19405E+17
931,0.397375,2.19591E+17
932,0.307,2.19735E+17
933,0.241375,2.19848E+17
934,0.1695,2.19928E+17
935,0.2255,2.20034E+17
936,0.172375,2.20115E+17
937,0.167375,2.20194E+17
938,0.220125,2.20298E+17
939,0.38225,2.20478E+17
940,0.448625,2.2069E+17
941,0.3875,2.20874E+17
942,0.384125,2.21056E+17
943,0.294625,2.21196E+17
944,0.294375,2.21335E+17
945,0.335125,2.21495E+17
946,0.237625,2.21608E+17
947,0.335875,2.21768E+17
948,0.312625,2.21917E+17
949,0.42225,2.22119E+17
950,0.232125,2.2223E+17
951,0.413375,2.22427E+17
952,0.304125,2.22573E+17
953,0.343625,2.22738E+17
954,0.402625,2.22931E+17
955,0.34875,2.23099E+17
956,0.3215,2.23253E+17
957,0.300875,2.23398E+17
958,0.425375,2.23603E+17
959,0.389625,2.23791E+17
960,0.418375,2.23993E+17
961,0.4525,2.24212E+17
962,0.45125,2.2443E+17
963,0.49025,2.24668E+17
964,0.4685,2.24895E+17
965,0.49625,2.25136E+17
966,0.501125,2.25379E+17
967,0.519625,2.25632E+17
968,0.635625,2.25942E+17
969,0.673375,2.2627E+17
970,0.64925,2.26587E+17
971,0.698875,2.26928E+17
972,0.679125,2.2726E+17
973,0.61125,2.2756E+17
974,0.579625,2.27844E+17
975,0.584,2.2813E+17
976,0.580625,2.28415E+17
977,0.625625,2.28723E+17
978,0.618875,2.29027E+17
979,0.629,2.29337E+17
980,0.620625,2.29643E+17
981,0.694875,2.29986E+17
982,0.68975,2.30327E+17
983,0.678375,2.30662E+17
984,0.720375,2.31019E+17
985,0.7,2.31366E+17
986,0.739625,2.31733E+17
987,0.738,2.32099E+17
988,0.73525,2.32465E+17
989,0.743125,2.32834E+17
990,0.73475,2.332E+17
991,0.748125,2.33573E+17
992,0.7475,2.33946E+17
993,0.738875,2.34316E+17
994,0.749625,2.3469E+17
995,0.749875,2.35066E+17
996,0.74625,2.3544E+17
997,0.739,2.3581E+17
998,0.737,2.3618E+17
999,0.73575,2.3655E+17
1000,0.7345,2.3692E+17
1001,0.738875,2.37292E+17
1002,0.72875,2.37659E+17
1003,0.729875,2.38027E+17
1004,0.71725,2.3839E+17
1005,0.689,2.38738E+17
1006,0.708875,2.39097E+17
1007,0.72325,2.39463E+17
1008,0.724125,2.39831E+17
1009,0.71875,2.40195E+17
1010,0.717625,2.4056E+17
1011,0.72,2.40926E+17
1012,0.717375,2.41292E+17
1013,0.7165,2.41657E+17
1014,0.717,2.42022E+17
1015,0.708,2.42384E+17
1016,0.707625,2.42746E+17
1017,0.703375,2.43106E+17
1018,0.7075,2.43468E+17
1019,0.691375,2.43822E+17
1020,0.696125,2.4418E+17
1021,0.698125,2.44538E+17
1022,0.690125,2.44893E+17
1023,0.691875,2.45249E+17
1024,0.690375,2.45605E+17
1025,0.694875,2.45963E+17
1026,0.693875,2.46321E+17
1027,0.6915,2.46679E+17
1028,0.690875,2.47036E+17
1029,0.685625,2.47391E+17
1030,0.687875,2.47747E+17
1031,0.685625,2.48103E+17
1032,0.684375,2.48458E+17
1033,0.676,2.4881E+17
1034,0.67775,2.49162E+17
1035,0.67975,2.49516E+17
1036,0.679125,2.4987E+17
1037,0.6735,2.50221E+17
1038,0.670875,2.50572E+17
1039,0.673,2.50924E+17
1040,0.6705,2.51274E+17
1041,0.67,2.51625E+17
1042,0.669125,2.51976E+17
1043,0.66425,2.52325E+17
1044,0.66525,2.52674E+17
1045,0.661125,2.53022E+17
1046,0.6485,2.53363E+17
1047,0.6545,2.53708E+17
1048,0.65975,2.54055E+17
1049,0.657,2.54402E+17
1050,0.6535,2.54747E+17
1051,0.6525,2.55092E+17
1052,0.64925,2.55436E+17
1053,0.647,2.55779E+17
1054,0.6455,2.56121E+17
1055,0.6465,2.56464E+17
1056,0.645,2.56807E+17
1057,0.642375,2.57149E+17
1058,0.6345,2.57486E+17
1059,0.6215,2.57817E+17
1060,0.63,2.58153E+17
1061,0.622375,2.58486E+17
1062,0.62825,2.58821E+17
1063,0.623375,2.59155E+17
1064,0.6285,2.59491E+17
1065,0.625875,2.59826E+17
1066,0.617,2.60157E+17
1067,0.618375,2.60489E+17
1068,0.614,2.60819E+17
1069,0.591375,2.61137E+17
1070,0.60225,2.61461E+17
1071,0.613375,2.61792E+17
1072,0.612625,2.62122E+17
1073,0.60575,2.62449E+17
1074,0.614125,2.62781E+17
1075,0.597375,2.63104E+17
1076,0.609,2.63434E+17
1077,0.604125,2.63761E+17
1078,0.60225,2.64088E+17
1079,0.602,2.64415E+17
1080,0.59475,2.64738E+17
1081,0.58225,2.65054E+17
1082,0.587875,2.65374E+17
1083,0.592625,2.65697E+17
1084,0.58125,2.66014E+17
1085,0.58525,2.66334E+17
1086,0.559375,2.66639E+17
1087,0.56675,2.66949E+17
1088,0.586125,2.6727E+17
1089,0.576625,2.67586E+17
1090,0.561125,2.67894E+17
1091,0.582,2.68213E+17
1092,0.572,2.68528E+17
1093,0.5215,2.68814E+17
1094,0.532,2.69107E+17
1095,0.51925,2.69393E+17
1096,0.5135,2.69676E+17
1097,0.55825,2.69984E+17
1098,0.511875,2.70267E+17
1099,0.50275,2.70545E+17
1100,0.48825,2.70815E+17
1101,0.491,2.71087E+17
1102,0.471125,2.71349E+17
1103,0.4655,2.71607E+17
1104,0.47075,2.71868E+17
1105,0.486625,2.72139E+17
1106,0.421125,2.72373E+17
1107,0.462875,2.72631E+17
1108,0.42225,2.72866E+17
1109,0.4205,2.73101E+17
1110,0.451375,2.73353E+17
1111,0.3595,2.73554E+17
1112,0.383875,2.73769E+17
1113,0.289875,2.73931E+17
1114,0.288875,2.74093E+17
1115,0.24925,2.74233E+17
1116,0.1918,2.7434E+17
1117,0.1118,2.74403E+17
1118,0.1868,2.74508E+17
1119,0.129625,2.74581E+17
1120,0.14375,2.74662E+17
1121,0.166675,2.74756E+17
1122,0.100175,2.74813E+17
1123,0.119675,2.7488E+17
1124,0.115,2.74946E+17
1125,0.127925,2.75018E+17
1126,0.076175,2.75061E+17
1127,0.1365375,2.75138E+17
1128,0.10705,2.75199E+17
1129,0.1006625,2.75256E+17
1130,0.102925,2.75315E+17
1131,0.259175,2.75462E+17
1132,0.23075,2.75594E+17
1133,0.149075,2.75679E+17
1134,0.05225,2.75709E+17
1135,0.03275,2.75727E+17
1136,0.1338,2.75804E+17
1137,0.256625,2.75951E+17
1138,0.225375,2.7608E+17
1139,0.28075,2.7624E+17
1140,0.252625,2.76385E+17
1141,0.204625,2.76503E+17
1142,0.231,2.76636E+17
1143,0.275375,2.76794E+17
1144,0.141875,2.76876E+17
1145,0.14325,2.76958E+17
1146,0.143375,2.77041E+17
1147,0.097625,2.77097E+17
1148,0.237125,2.77234E+17
1149,0.212375,2.77357E+17
1150,0.143375,2.7744E+17
1151,0.19825,2.77555E+17
1152,0.24025,2.77694E+17
1153,0.226375,2.77825E+17
1154,0.175125,2.77927E+17
1155,0.28675,2.78093E+17
1156,0.28825,2.78261E+17
1157,0.309375,2.78441E+17
1158,0.3145,2.78624E+17
1159,0.326625,2.78815E+17
1160,0.299875,2.7899E+17
1161,0.339625,2.79188E+17
1162,0.3635,2.79401E+17
1163,0.444,2.7966E+17
1164,0.407625,2.79899E+17
1165,0.387875,2.80127E+17
1166,0.380125,2.8035E+17
1167,0.40575,2.80588E+17
1168,0.417375,2.80833E+17
1169,0.425875,2.81083E+17
1170,0.451375,2.81349E+17
1171,0.449125,2.81614E+17
1172,0.45325,2.81881E+17
1173,0.44,2.82141E+17
1174,0.36525,2.82356E+17
1175,0.439625,2.82616E+17
1176,0.4715,2.82895E+17
1177,0.4575,2.83166E+17
1178,0.388375,2.83396E+17
1179,0.46125,2.8367E+17
1180,0.44625,2.83935E+17
1181,0.435625,2.84194E+17
1182,0.352875,2.84403E+17
1183,0.420375,2.84654E+17
1184,0.419625,2.84904E+17
1185,0.416375,2.85152E+17
1186,0.4645,2.85429E+17
1187,0.44175,2.85693E+17
1188,0.359125,2.85907E+17
1189,0.410625,2.86153E+17
1190,0.45325,2.86424E+17
1191,0.450375,2.86694E+17
1192,0.46625,2.86974E+17
1193,0.45725,2.87248E+17
